Reflectivity,Azimut,Elevation,Classe
0.11245,-75.644,63.6643,sol
0.17647,-75.6478,63.6661,sol
0.23494,-75.6515,63.6678,eau
0.13454,-75.6584,63.671,sol
0.19745,-75.6661,63.6746,sol
0.13229,-75.6734,63.678,sol
0.21244,-75.6799,63.681,sol
0.1481,-75.6837,63.6828,sol
0.22437,-75.6885,63.685,eau
0.14581,-75.7025,63.6915,sol
0.14121,-75.725,63.7019,sol
0.11106,-75.7413,63.7094,sol
0.15614,-75.7536,63.715,sol
0.23238,-75.7613,63.7186,eau
0.14899,-75.7661,63.7208,sol
0.082891,-75.7701,63.7226,foret
0.14166,-75.792,63.7327,sol
0.10445,-75.816,63.7437,foret
0.1561,-75.8196,63.7454,sol
0.11183,-75.8271,63.7488,sol
0.10508,-75.8401,63.7548,foret
0.13322,-75.8688,63.7681,sol
0.13468,-75.915,63.7893,sol
0.10263,-75.9404,63.801,foret
0.1847,-75.943,63.8022,sol
0.1299,-75.9485,63.8047,sol
0.21265,-75.9543,63.8074,sol
0.14696,-75.9625,63.8111,sol
0.24088,-75.9702,63.8147,eau
0.17433,-75.9755,63.8171,sol
0.141,-75.9822,63.8202,sol
0.30951,-75.9863,63.8221,eau
0.15134,-75.9893,63.8234,sol
0.29732,-75.9937,63.8254,eau
0.15139,-75.9979,63.8274,sol
0.39176,-76.0006,63.8286,eau
0.25948,-76.0048,63.8305,eau
0.20362,-76.0118,63.8337,sol
0.16615,-76.0249,63.8397,sol
0.24047,-76.0359,63.8447,eau
0.15568,-76.0418,63.8474,sol
0.22245,-76.0463,63.8495,eau
0.35363,-76.0482,63.8504,eau
0.19657,-76.0539,63.8529,sol
0.15697,-76.0732,63.8617,sol
0.24281,-76.0893,63.869,eau
0.12767,-76.0942,63.8712,sol
0.21195,-76.0983,63.8731,sol
0.12706,-76.1018,63.8747,sol
0.15836,-76.112,63.8793,sol
0.15396,-76.1261,63.8856,sol
0.28361,-76.1348,63.8896,eau
0.16432,-76.1396,63.8917,sol
0.10745,-76.1438,63.8936,foret
0.15768,-76.1498,63.8963,sol
0.22898,-76.1558,63.899,eau
0.15601,-76.1626,63.9021,sol
0.15473,-76.1781,63.909,sol
0.24036,-76.1893,63.914,eau
0.11525,-76.1918,63.9151,sol
0.18378,-76.1978,63.9178,sol
0.13037,-76.2051,63.9211,sol
0.1754,-76.2198,63.9276,sol
0.12145,-76.2331,63.9336,sol
0.17983,-76.2382,63.9359,sol
0.12168,-76.2519,63.942,sol
0.21818,-76.2629,63.9469,eau
0.15067,-76.27,63.95,sol
0.14371,-76.2829,63.9558,sol
0.24429,-76.2901,63.959,eau
0.10239,-76.2928,63.9602,foret
0.21828,-76.2965,63.9618,eau
0.10441,-76.2996,63.9632,foret
0.19058,-76.3056,63.9659,sol
0.12249,-76.3129,63.9691,sol
0.20575,-76.3181,63.9714,sol
0.15136,-76.3399,63.9811,sol
0.1513,-76.3774,63.9977,sol
0.11861,-76.399,64.0073,sol
0.1785,-76.4092,64.0118,sol
0.24672,-76.4167,64.0151,eau
0.17014,-76.4221,64.0175,sol
0.15119,-76.4284,64.0203,sol
0.10042,-76.4317,64.0218,foret
0.14086,-76.4378,64.0244,sol
0.24214,-76.4439,64.0272,eau
0.17094,-76.4506,64.0301,sol
0.14792,-76.4654,64.0366,sol
0.19129,-76.4765,64.0415,sol
0.12244,-76.4814,64.0437,sol
0.17852,-76.4866,64.046,sol
0.11196,-76.4896,64.0473,sol
0.13248,-76.5222,64.0617,sol
0.062388,-76.5548,64.0761,foret
0.13357,-76.5619,64.0793,sol
0.19125,-76.5704,64.083,sol
0.16973,-76.587,64.0904,sol
0.30371,-76.6028,64.0975,eau
0.25073,-76.6045,64.0982,eau
0.092141,-76.6059,64.0989,foret
0.15173,-76.6129,64.102,sol
0.11747,-76.6263,64.1079,sol
0.21148,-76.6359,64.1122,sol
0.11223,-76.6399,64.114,sol
0.18077,-76.6462,64.1168,sol
0.060881,-76.6518,64.1193,foret
0.13795,-76.6758,64.1299,sol
0.20081,-76.6995,64.1403,sol
0.13444,-76.706,64.1432,sol
0.11658,-76.723,64.1506,sol
0.19685,-76.7354,64.156,sol
0.1197,-76.7667,64.1696,sol
0.14142,-76.8147,64.1903,sol
0.13571,-76.8368,64.1998,sol
